date,open,high,low,close,volume,average,barcount
2020-06-01 04:00:00,305.0,305.31,303.58,303.92,1241,304.104,351
2020-06-01 04:10:00,303.84,303.9,302.82,303.14,3936,303.391,1388
2020-06-01 04:20:00,303.18,303.26,302.45,303.15,2886,302.944,666
2020-06-01 04:30:00,303.26,303.55,303.02,303.46,1603,303.321,373
2020-06-01 04:40:00,303.46,303.53,303.18,303.53,1397,303.338,326
2020-06-01 04:50:00,303.66,304.01,303.66,303.88,1527,303.88,503
2020-06-01 05:00:00,303.84,304.21,303.67,304.15,1106,303.881,369
2020-06-01 05:10:00,304.15,304.15,303.65,304.05,632,303.965,127
2020-06-01 05:20:00,304.05,304.2,303.83,303.83,477,304.08,101
2020-06-01 05:30:00,303.81,304.18,303.8,304.06,1235,304.061,107
2020-06-01 05:40:00,304.1,304.19,303.65,303.7,923,304.018,105
2020-06-01 05:50:00,303.69,303.74,303.39,303.56,111,303.587,51
2020-06-01 06:00:00,303.5,303.82,303.2,303.8,455,303.631,115
2020-06-01 06:10:00,303.81,303.9,303.73,303.84,415,303.821,103
2020-06-01 06:20:00,303.89,304.06,303.81,303.95,645,303.977,110
2020-06-01 06:30:00,303.98,303.98,303.62,303.9,308,303.833,90
2020-06-01 06:40:00,303.93,304.15,303.93,304.07,187,304.043,71
2020-06-01 06:50:00,304.07,304.37,304.07,304.36,182,304.231,59
2020-06-01 07:00:00,304.42,304.68,304.2,304.68,772,304.523,326
2020-06-01 07:10:00,304.65,305.05,304.58,304.93,1017,304.743,271
2020-06-01 07:20:00,304.98,304.98,304.74,304.78,549,304.857,180
2020-06-01 07:30:00,304.79,304.91,304.74,304.89,535,304.834,144
2020-06-01 07:40:00,304.9,305.02,304.63,304.65,743,304.785,261
2020-06-01 07:50:00,304.63,304.7,304.56,304.58,392,304.633,126
2020-06-01 08:00:00,304.89,305.5,303.83,304.78,2563,304.602,564
2020-06-01 08:10:00,304.78,304.85,304.46,304.47,600,304.637,182
2020-06-01 08:20:00,304.5,304.53,304.21,304.21,1014,304.369,306
2020-06-01 08:30:00,304.21,304.78,303.56,303.71,9983,304.184,2481
2020-06-01 08:40:00,303.66,304.0,303.63,303.88,2436,303.799,739
2020-06-01 08:50:00,303.9,303.97,303.7,303.84,1319,303.842,398
2020-06-01 09:00:00,303.81,303.81,303.42,303.51,1353,303.609,343
2020-06-01 09:10:00,303.51,303.69,303.26,303.4,738,303.505,258
2020-06-01 09:20:00,303.4,303.78,303.36,303.6,1590,303.572,426
2020-06-01 09:30:00,303.61,304.06,303.06,303.32,27142,303.487,12754
2020-06-01 09:40:00,303.34,304.69,303.29,304.56,27899,304.219,10733
2020-06-01 09:50:00,304.54,304.71,304.13,304.21,14638,304.361,7435
2020-06-01 10:00:00,304.21,304.94,303.95,304.66,17172,304.501,7993
2020-06-01 10:10:00,304.69,305.09,304.49,304.82,15136,304.748,7920
2020-06-01 10:20:00,304.84,305.07,304.7,304.98,12054,304.925,6390
2020-06-01 10:30:00,305.0,305.25,304.92,305.22,7694,305.109,4049
2020-06-01 10:40:00,305.22,305.29,304.86,304.92,8168,305.104,4074
2020-06-01 10:50:00,304.92,305.17,304.66,305.07,7862,304.961,4277
2020-06-01 11:00:00,305.06,305.14,304.41,304.56,15242,304.658,4545
2020-06-01 11:10:00,304.56,304.86,304.36,304.6,5579,304.598,3177
2020-06-01 11:20:00,304.61,304.77,304.25,304.52,7628,304.494,4275
2020-06-01 11:30:00,304.51,304.93,304.45,304.85,6335,304.672,3253
2020-06-01 11:40:00,304.83,305.08,304.78,305.03,5451,304.947,2823
2020-06-01 11:50:00,305.04,305.07,304.89,305.0,6066,304.984,2971
2020-06-01 12:00:00,304.99,305.22,304.7,305.19,6192,305.023,3015
2020-06-01 12:10:00,305.19,305.36,305.11,305.34,5153,305.215,2565
2020-06-01 12:20:00,305.33,305.43,305.21,305.3,6040,305.317,2725
2020-06-01 12:30:00,305.29,305.49,305.29,305.39,4051,305.415,2049
